Contrast,Correlation,Energy,Homogeneity,meanR,meanG,meanB,meanH,meanS,meanV,meanY,meanCb,meanCr,meanL,meanLA,meanLB,meanGray,Class
1.942644841,0.728523705,0.340707147,0.842945642,172.35,111.8630435,117.9565217,0.866035122,0.31237105,0.675882353,128.2065217,121.7065217,154.1413043,53.12184156,24.17502605,6.51108431,130.6608696,1
2.241686508,0.807839548,0.153502089,0.815536588,129.4986667,80.248,85.736,0.751508172,0.311906959,0.507837908,98.112,123.1093333,149.232,39.31138578,20.46072303,5.346823204,95.60533333,1
2.330703367,0.748919431,0.28155371,0.815758623,161.3823529,108.2088235,112.4647059,0.78040361,0.281203715,0.632871972,123,121.9823529,151.0382353,50.62824676,21.07013507,6.156905572,124.5941176,1
3.867288961,0.667872389,0.19329997,0.755203019,109.6770833,70.02083333,70.72916667,0.456830216,0.304822408,0.430106209,86.4375,122.3958333,145.3229167,33.97609706,16.41380141,6.396765412,81.94791667,1
1.66743167,0.506722853,0.281629741,0.830894696,187.6818182,125.0858586,131.7929293,0.942899858,0.319673256,0.73600713,140.1464646,121.6666667,155.0252525,58.64790938,24.96541625,6.351541258,144.5606061,1
1.456525769,0.767411286,0.246124628,0.855772076,102.7997775,41.46273637,42.02558398,0.37203082,0.464572228,0.403136382,67.42714127,119.1490545,154.9032258,26.47580012,25.58071547,14.17084982,59.84983315,1
1.940419823,0.684570907,0.319888,0.822982428,169.8148148,103.7222222,89.25925926,0.027389927,0.440430262,0.66594045,120.6203704,111.8611111,158.0462963,50.40431119,24.47158744,19.07235535,121.8425926,1
2.305147828,0.381909784,0.229348995,0.810027122,163.3952381,88.3,81.11904762,0.013921616,0.489313819,0.64076564,110.4238095,113.752381,161.4952381,46.01457485,29.66082671,17.80097949,109.952381,1
1.665798611,-0.010061989,0.410308461,0.850740947,175.3580247,102.3333333,90.59259259,0.02333597,0.481514194,0.687678528,121.5555556,111.9753086,160.9506173,51.09267597,27.90852642,19.25283574,122.8518519,1
3.186805556,0.343289833,0.622039689,0.844744957,209.4259259,146.4074074,130.8703704,0.032554847,0.367736282,0.821278141,156.3888889,111.8333333,156.8333333,65.97991467,21.60488216,17.60905431,163.5,1
2.794961735,0.559105609,0.673383793,0.883218942,211.375,144.2321429,135.9285714,0.017291856,0.337584429,0.828921569,156.3214286,114.3035714,157.9464286,65.60672792,24.0021157,14.51753215,163.375,1
2.300670163,0.706368527,0.239887101,0.790572552,164.0769231,95.72027972,88.69230769,0.013431433,0.406101462,0.643438914,115.0699301,114.7552448,158.5314685,47.68689642,26.24898147,15.68206296,115.3566434,1
1.722748465,0.84293413,0.184954516,0.840641625,150.8573668,88.86206897,78.6661442,0.018490305,0.389018891,0.591597517,107.2335423,114.3087774,155.9482759,44.00006955,23.3977684,16.32667417,106.2382445,1
2.614484127,0.2784549,0.225740052,0.751793509,181.65,109.7,104.3875,0.01089852,0.40858883,0.712352941,128.1875,115.0125,159.9625,53.66435206,27.63004793,15.02803784,130.625,1
2.236625874,0.63605353,0.250049215,0.787201479,188.5804196,117.7552448,109.5244755,0.015932348,0.38587947,0.739531057,134.4965035,113.8951049,159.6713287,56.36314476,26.31863968,15.97325559,138,1
1.960143849,0.222167835,0.334613473,0.792945188,191.0982143,119.6071429,110.6785714,0.018528511,0.419730194,0.749404762,136.2232143,113.4285714,160,57.43490783,26.81913772,16.61899211,139.9642857,1
2.244078947,0.792925132,0.245857443,0.772785784,160.08,98.565,90.355,0.016074288,0.364626887,0.627764706,115.61,115.285,155.62,47.61288927,23.04211553,14.66625232,116.03,1
2.857592593,0.587368557,0.216388477,0.740996914,187.7333333,120.4333333,115.3,0.010740353,0.364764422,0.73620915,136.2,115.7,157.9,56.92296113,25.25711076,13.55897374,139.9666667,1
2.695798898,0.492698684,0.333891362,0.815316435,185.8863636,107.3030303,103.0454545,0.008219425,0.416763982,0.728966132,127.8636364,114.4469697,162.7954545,53.58897585,30.25004721,15.84294943,130.3484848,1
2.216363636,0.288106691,0.472528409,0.846350108,201.553719,122.8760331,112.9752066,0.025737501,0.429741985,0.790406741,140.8016529,111.9917355,163.2066116,59.36870311,29.23928916,18.33747173,145.231405,1
2.242810458,0.755259234,0.241670733,0.791329834,174.2676768,105.5454545,97.66666667,0.015384487,0.384532117,0.683402654,123.520202,114.3888889,158.7525253,51.28510534,25.75989196,15.73552444,125.1868687,1
1.704917281,0.796483446,0.455133044,0.884903995,180.9712919,107.1602871,83.4138756,0.036062495,0.477849553,0.709691341,124.6507177,106.6339713,162.1411483,52.37551026,26.29157498,25.2502821,126.5526316,1
