Contrast,Correlation,Energy,Homogeneity,meanR,meanG,meanB,meanH,meanS,meanV,meanY,meanCb,meanCr,meanL,meanLA,meanLB,meanGray,Class
1.601395012,0.880827256,0.312379109,0.871106725,135.8068182,97.58874459,97.93885281,0.373641552,0.217541183,0.532575758,109.6580087,122.4832251,144.7591991,44.40042509,14.74408341,5.678885715,109.0438312,1
1.688257269,0.895290179,0.234130633,0.871845337,115.0087209,82.05232558,82.62325581,0.349061537,0.185776964,0.451014592,94.99127907,123.344186,142.4360465,37.45630653,12.77271282,4.781295879,91.97267442,1
3.654097796,0.683675613,0.399328738,0.828529409,160.25,122.0208333,121.4513889,0.127423382,0.219134435,0.628431373,130.5416667,122.0763889,144.7569444,53.96084397,14.31578788,5.896099939,133.3680556,1
3.141872374,0.605945838,0.241703166,0.806849636,163.4235294,122.1176471,120.4431373,0.072804161,0.235102092,0.640876586,131.3372549,121.1333333,146.2862745,54.56044041,15.43624537,7.044767364,134.2941176,1
1.88125,0.05356591,0.338609182,0.792418981,195.0740741,149.4444444,149.7222222,0.314222927,0.235205794,0.764996369,156.0740741,121.2962963,147.9259259,65.95281999,17.106885,6.475403838,163.1111111,1
3.495556702,0.742950781,0.224981284,0.81819167,121.5438596,85.85087719,84.67251462,0.159241137,0.235075707,0.476642587,98.7748538,122.1988304,143.7397661,39.63673527,13.91735556,6.30384756,96.37134503,1
0.783441558,0.377197589,0.346161294,0.872245552,187.8246753,138.7272727,136.8896104,0.051259017,0.269802902,0.736567354,147.5454545,119.8961039,149.6623377,62.27008352,18.39432412,8.324448807,153.2142857,1
2.302556818,0.54452581,0.328414703,0.814677955,166.90625,123.3125,121.90625,0.098704716,0.253420125,0.654534314,132.9583333,120.9114583,147.234375,55.50503148,16.48158414,7.318796812,136.171875,1
3.625025253,0.549746883,0.431341614,0.867938612,161.6090909,119.5727273,117.9181818,0.006184798,0.247712406,0.633761141,129.3636364,121.0181818,146.4909091,53.73385884,15.84532526,7.205037053,131.9454545,1
2.34077381,0.488414268,0.283521483,0.785699129,159.4285714,116.1904762,114.984127,0.02021296,0.265908051,0.625210084,126.8253968,121,147.0793651,52.80877426,16.61775349,7.289901184,128.968254,1
2.194766241,0.810449343,0.229907064,0.81879715,136.2850877,97.65570175,98.60307018,0.573087814,0.237554823,0.534451324,109.8837719,122.6600877,144.9166667,44.72776894,15.20477046,5.496884622,109.3114035,1
2.049451023,0.834114975,0.163940255,0.841904308,136.765252,95.60079576,95.4469496,0.300917881,0.246778414,0.536334322,108.6432361,121.8289125,146.0822281,44.21467446,16.07920568,6.619295277,107.8832891,1
1.775151515,0.258401093,0.143550746,0.707540404,176.8636364,128.2121212,132.7424242,0.984024532,0.275388796,0.693582888,139.0606061,122.8181818,149.0606061,58.34766416,19.40844462,5.003955572,143.3636364,1
2.747930021,0.570430188,0.180998578,0.736758125,155.6239316,110.5555556,110.3247863,0.301497347,0.274464408,0.610289928,122.5384615,121.1880342,147.8034188,50.70871568,17.50598336,7.152078342,124.025641,1
1.063365801,0.285964573,0.556689565,0.888904672,175.7012987,125.9480519,127.974026,0.75974708,0.280070119,0.689024701,137.1038961,121.5194805,149.7402597,57.58557171,19.51761087,6.573923282,141.0649351,1
2.178519448,0.857505276,0.258093456,0.851871064,119.9212963,84.8287037,84.51697531,0.194505759,0.220233103,0.470285645,97.85185185,122.6512346,143.4305556,39.07788839,13.72260341,5.687855794,95.28703704,1
2.9227648,0.747952728,0.210209981,0.854928481,144.172043,101.4731183,103.3397849,0.637307109,0.248772041,0.565380561,114.2946237,122.4741935,146.6182796,46.78639806,16.88914925,5.707002397,114.4548387,1
3.386717172,0.469440734,0.726387663,0.910106481,158.2636364,116.9,116.4181818,0.183452231,0.239357364,0.620641711,127.0181818,121.6,146.1636364,52.83652025,15.8569277,6.519517492,129.1818182,1
2.861665649,0.645143519,0.194314149,0.742468088,143.4148148,100.6098765,102.3432099,0.702659214,0.268372421,0.562411038,113.5851852,122.3901235,146.708642,46.58900518,17.11503328,5.841141803,113.6074074,1
